playKey	playDesc	team	season	week	gameId	playId
441	(2:24) T.Bridgewater pass short left to A.Kamara to NO 25 for 18 yards (M.Blair).	NO	2019	3	2019092211	2780
442	(:39) (Shotgun) J.Garoppolo pass short left to G.Kittle to NO 28 for 39 yards (M.Williams; C.Gardner-Johnson). PENALTY on NO-M.Williams, Face Mask (15 Yards), 14 yards, enforced at NO 28. Pass 7, YAC 31	NO	2019	14	2019120806	4640
443	(1:00) (Shotgun) D.Brees pass short left to T.Smith for 18 yards, TOUCHDOWN. Pass 5, YAC 13	NO	2019	14	2019120806	4471
444	(6:12) (Shotgun) D.Brees pass short left to M.Thomas for 21 yards, TOUCHDOWN. Pass 14, YAC 7	NO	2019	14	2019120806	3861
445	(7:13) D.Brees pass short left to J.Hill for 5 yards, TOUCHDOWN. Pass 5, YAC 0	NO	2019	15	2019121600	2402
446	(2:16) D.Brees pass short right to M.Thomas for 2 yards, TOUCHDOWN.	NO	2019	16	2019122210	4253
447	(3:14) (Shotgun) D.Brees pass short left to M.Thomas for 14 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (Shotgun) D.Brees pass short left to M.Thomas to TEN 1 for 13 yards (L.Ryan).	NO	2019	16	2019122210	4178
448	(14:07) A.Kamara left guard for 40 yards, TOUCHDOWN.	NO	2019	16	2019122210	2421
449	(10:54) (Shotgun) A.Kamara up the middle for 15 yards, TOUCHDOWN.	NO	2019	17	2019122902	220
450	(10:37) (Shotgun) D.Brees pass deep left to T.Hill for 20 yards, TOUCHDOWN. Pass 20, YAC 0	NO	2019	18	2020010500	3227
451	(10:09) (Shotgun) N.Easton reported in as eligible.  T.Hill pass deep middle to D.Harris to MIN 4 for 50 yards (X.Rhodes).	NO	2019	18	2020010500	1212
452	(11:25) S.Barkley up the middle pushed ob at DAL 23 for 59 yards (C.Awuzie).	NYG	2019	1	2019090810	249
453	(11:25) S.Barkley up the middle pushed ob at DAL 23 for 59 yards (C.Awuzie).	NYG	2019	1	2019090810	249
454	(12:45) S.Barkley right end for 27 yards, TOUCHDOWN.	NYG	2019	2	2019091506	140
455	(1:21) (Shotgun) D.Jones scrambles up the middle for 7 yards, TOUCHDOWN.	NYG	2019	3	2019092209	4197
456	(15:00) (Shotgun) D.Jones pass short left to E.Engram for 75 yards, TOUCHDOWN.	NYG	2019	3	2019092209	2375
457	(10:06) (Shotgun) D.Jones right end for 7 yards, TOUCHDOWN.	NYG	2019	3	2019092209	1188
458	(1:29) (Shotgun) D.Jones pass short middle to E.Engram pushed ob at WAS 31 for 31 yards (J.Bostic).	NYG	2019	4	2019092907	1885
459	(12:16) (Shotgun) D.Jones pass deep left to D.Slayton for 35 yards, TOUCHDOWN.	NYG	2019	5	2019100604	1020
460	(4:54) (Shotgun) T.Brady sacked at NE 43 for -9 yards (L.Carter). FUMBLES (L.Carter), RECOVERED by NYG-M.Golden at NE 42. M.Golden for 42 yards, TOUCHDOWN. NE-J.Gordon was injured during the play.	NYG	2019	6	2019101000	1690
461	(6:15) (No Huddle, Shotgun) D.Jones pass deep right to G.Tate for 64 yards, TOUCHDOWN.	NYG	2019	6	2019101000	1586
462	(8:12) (Shotgun) E.Manning pass deep middle to G.Tate for 51 yards, TOUCHDOWN. Penalty on MIA-N.Needham, Defensive Pass Interference, declined.	NYG	2019	15	2019121505	1248
